INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 22, N'2024-02-13 08:00:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 6, N'2024-02-13 08:01:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 1, N'2024-02-13 08:02:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 22, N'2024-02-13 08:00:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 6, N'2024-02-13 08:01:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 1, N'2024-02-13 08:02:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 10, N'2024-02-13 08:03:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 22, N'2024-02-13 08:04:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 33, N'2024-02-13 08:05:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 35, N'2024-02-13 08:06:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 2, N'2024-02-13 08:07:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 18, N'2024-02-13 08:08:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 29, N'2024-02-13 08:09:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 20, N'2024-02-13 08:10:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 5, N'2024-02-13 08:11:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 38, N'2024-02-13 08:12:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 0, N'2024-02-13 08:13:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 37, N'2024-02-13 08:14:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 5, N'2024-02-13 08:15:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 10, N'2024-02-13 08:16:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 9, N'2024-02-13 08:17:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 30, N'2024-02-13 08:18:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 18, N'2024-02-13 08:19:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 19, N'2024-02-13 08:20:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 32, N'2024-02-13 08:21:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 25, N'2024-02-13 08:22:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 3, N'2024-02-13 08:23:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 1, N'2024-02-13 08:24:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 36, N'2024-02-13 08:25:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 1, N'2024-02-13 08:26:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 24, N'2024-02-13 08:27:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 12, N'2024-02-13 08:28:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 38, N'2024-02-13 08:29:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 31, N'2024-02-13 08:30:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 10, N'2024-02-13 08:31:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 22, N'2024-02-13 08:32:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 8, N'2024-02-13 08:33:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 39, N'2024-02-13 08:34:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 18, N'2024-02-13 08:35:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 16, N'2024-02-13 08:36:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 11, N'2024-02-13 08:37:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 21, N'2024-02-13 08:38:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 12, N'2024-02-13 08:39:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 13, N'2024-02-13 08:40:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 5, N'2024-02-13 08:41:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 16, N'2024-02-13 08:42:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 16, N'2024-02-13 08:43:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 32, N'2024-02-13 08:44:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 35, N'2024-02-13 08:45:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 13, N'2024-02-13 08:46:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 37, N'2024-02-13 08:47:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 2, N'2024-02-13 08:48:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 21, N'2024-02-13 08:49:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 9, N'2024-02-13 08:50:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 20, N'2024-02-13 08:51:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 18, N'2024-02-13 08:52:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 36, N'2024-02-13 08:53:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 20, N'2024-02-13 08:54:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 2, N'2024-02-13 08:55:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 34, N'2024-02-13 08:56:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 39, N'2024-02-13 08:57:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 10, N'2024-02-13 08:58:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 39, N'2024-02-13 08:59:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 17, N'2024-02-13 09:00:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 27, N'2024-02-13 09:01:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 27, N'2024-02-13 09:02:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 6, N'2024-02-13 09:03:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 27, N'2024-02-13 09:04:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 28, N'2024-02-13 09:05:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 1, N'2024-02-13 09:06:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 3, N'2024-02-13 09:07:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 29, N'2024-02-13 09:08:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 14, N'2024-02-13 09:09:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 37, N'2024-02-13 09:10:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 8, N'2024-02-13 09:11:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 35, N'2024-02-13 09:12:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 9, N'2024-02-13 09:13:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 28, N'2024-02-13 09:14:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 10, N'2024-02-13 09:15:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 1, N'2024-02-13 09:16:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 33, N'2024-02-13 09:17:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 16, N'2024-02-13 09:18:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 15, N'2024-02-13 09:19:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 22, N'2024-02-13 09:20:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 10, N'2024-02-13 09:21:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 17, N'2024-02-13 09:22:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 32, N'2024-02-13 09:23:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 9, N'2024-02-13 09:24:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 40, N'2024-02-13 09:25:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 17, N'2024-02-13 09:26:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 35, N'2024-02-13 09:27:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 12, N'2024-02-13 09:28:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 38, N'2024-02-13 09:29:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 23, N'2024-02-13 09:30:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 29, N'2024-02-13 09:31:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 34, N'2024-02-13 09:32:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 30, N'2024-02-13 09:33:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 28, N'2024-02-13 09:34:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 23, N'2024-02-13 09:35:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 33, N'2024-02-13 09:36:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 26, N'2024-02-13 09:37:00')
INSERT INTO [dbo].[Mesure] ([IdChannel], [valeur], [dateHeure]) VALUES (1, 15, N'2024-02-13 09:38:00')
